current_attendance,total_classes,attended,needed_classes
34.11764705882353,170,58,278
88.0,25,22,0
91.83673469387756,98,90,0
4.716981132075472,106,5,298
85.0574712643678,174,148,0
41.935483870967744,31,13,41
91.04477611940298,67,61,0
97.91666666666666,96,94,0
79.67479674796748,123,98,0
5.4945054945054945,182,10,506
68.88888888888889,45,31,11
30.76923076923077,26,8,46
62.5,48,30,24
55.39568345323741,139,77,109
67.56756756756756,37,25,11
43.66197183098591,142,62,178
31.979695431472084,197,63,339
36.79245283018868,106,39,162
53.57142857142857,56,30,48
61.98830409356725,171,106,89
18.333333333333332,60,11,136
63.47826086956522,115,73,53
59.154929577464785,142,84,90
64.70588235294117,153,99,63
16.666666666666664,24,4,56
65.57377049180327,61,40,23
42.48366013071895,153,65,199
15.584415584415584,77,12,183
11.11111111111111,108,12,276
12.690355329949238,197,25,491
3.6809815950920246,163,6,465
47.674418604651166,86,41,94
74.4186046511628,172,128,4
59.61538461538461,52,31,32
90.47619047619048,21,19,0
80.97826086956522,184,149,0
35.714285714285715,126,45,198
68.69565217391305,115,79,29
10.0,130,13,338
36.84210526315789,38,14,58
100.0,40,40,0
61.93181818181818,176,109,92
63.74999999999999,80,51,36
15.65217391304348,115,18,273
0.0,43,0,129
62.5,56,35,28
20.634920634920633,189,39,411
64.51612903225806,31,20,13
12.5,176,22,440
83.69565217391305,92,77,0
50.0,62,31,62
8.860759493670885,79,7,209
30.158730158730158,126,38,226
96.64804469273743,179,173,0
57.692307692307686,156,90,108
80.3921568627451,51,41,0
68.90243902439023,164,113,40
41.44144144144144,111,46,149
2.3391812865497075,171,4,497
76.40449438202246,89,68,0
69.62025316455697,79,55,17
75.38461538461539,130,98,0
85.71428571428571,28,24,0
72.63157894736842,190,138,18
12.921348314606742,178,23,442
88.67924528301887,53,47,0
26.666666666666668,15,4,29
90.10989010989012,91,82,0
22.77777777777778,180,41,376
10.294117647058822,68,7,176
33.0188679245283,106,35,178
34.285714285714285,105,36,171
51.66666666666667,60,31,56
18.681318681318682,91,17,205
84.04255319148936,188,158,0
7.777777777777778,90,7,242
92.02127659574468,188,173,0
82.10526315789474,190,156,0
3.9215686274509802,51,2,145
79.45205479452055,73,58,0
57.286432160804026,199,114,141
88.73239436619718,71,63,0
17.67955801104972,181,32,415
58.44155844155844,154,90,102
11.11111111111111,18,2,46
79.3296089385475,179,142,0
50.0,10,5,10
86.36363636363636,44,38,0
33.54037267080746,161,54,267
51.23456790123457,162,83,154
68.35443037974683,158,108,42
30.76923076923077,26,8,46
98.63013698630137,73,72,0
42.857142857142854,14,6,18
91.17647058823529,34,31,0
48.717948717948715,39,19,41
80.6896551724138,145,117,0
63.934426229508205,122,78,54
72.41379310344827,116,84,12
34.61538461538461,52,18,84
11.76470588235294,51,6,129
5.405405405405405,111,6,309
67.04545454545455,176,118,56
76.74418604651163,86,66,0
48.61878453038674,181,88,191
59.42028985507246,138,82,86
11.666666666666666,120,14,304
29.09090909090909,110,32,202
16.0,50,8,118
14.000000000000002,50,7,122
62.5,96,60,48
46.57534246575342,146,68,166
83.13953488372093,172,143,0
86.36363636363636,22,19,0
63.38028169014085,142,90,66
43.01075268817204,93,40,119
14.19753086419753,162,23,394
57.14285714285714,175,100,125
7.6923076923076925,104,8,280
12.903225806451612,124,16,308
67.3469387755102,49,33,15
35.18518518518518,162,57,258
47.93388429752066,121,58,131
82.08955223880598,67,55,0
16.76300578034682,173,29,403
32.121212121212125,165,53,283
89.71428571428571,175,157,0
97.32620320855615,187,182,0
4.545454545454546,22,1,62
18.0,200,36,456
78.04878048780488,41,32,0
22.52252252252252,111,25,233
43.87096774193549,155,68,193
64.70588235294117,17,11,7
33.13609467455622,169,56,283
14.788732394366196,142,21,342
90.81632653061224,98,89,0
0.0,61,0,183
82.53968253968253,63,52,0
14.925373134328357,134,20,322
2.6178010471204187,191,5,553
62.71186440677966,118,74,58
91.05263157894737,190,173,0
35.526315789473685,152,54,240
68.42105263157895,19,13,5
27.21518987341772,158,43,302
94.91525423728814,59,56,0
30.107526881720432,93,28,167
21.022727272727273,176,37,380
54.761904761904766,42,23,34
54.65116279069767,86,47,70
89.47368421052632,95,85,0
40.0,40,16,56
29.545454545454547,132,39,240
30.0,10,3,18
5.555555555555555,36,2,100
64.28571428571429,196,126,84
32.0855614973262,187,60,321
90.74074074074075,108,98,0
70.96774193548387,155,110,25
